,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,PHI,22000894,2021-04-22T00:00:00,PHI @ MIL,L,48.0,46,91,0.505,12,27,0.444,13,18,0.722,7,26,33,27,9.0,7,3,8,17,16,117,-7.0
2,PHI,22000883,2021-04-21T00:00:00,PHI vs. PHX,L,48.0,41,80,0.513,13,25,0.52,18,26,0.692,14,30,44,24,17.0,7,7,8,19,21,113,-3.0
3,PHI,22000870,2021-04-19T00:00:00,PHI vs. GSW,L,48.0,35,89,0.393,12,32,0.375,14,18,0.778,10,32,42,26,13.0,9,6,5,21,19,96,-11.0
4,PHI,22000846,2021-04-16T00:00:00,PHI vs. LAC,W,48.0,35,83,0.422,14,44,0.318,22,30,0.733,11,35,46,21,13.0,13,7,3,19,26,106,3.0
5,PHI,22000830,2021-04-14T00:00:00,PHI vs. BKN,W,48.0,45,87,0.517,13,28,0.464,20,25,0.8,4,28,32,23,10.0,8,9,3,21,21,123,6.0
6,PHI,22000818,2021-04-12T00:00:00,PHI @ DAL,W,48.0,39,80,0.488,12,31,0.387,23,33,0.697,6,34,40,24,9.0,9,4,3,20,24,113,18.0
7,PHI,22000199,2021-04-10T00:00:00,PHI @ OKC,W,48.0,44,94,0.468,12,38,0.316,17,25,0.68,13,34,47,24,10.0,11,10,4,17,21,117,24.0
8,PHI,22000795,2021-04-09T00:00:00,PHI @ NOP,L,48.0,33,79,0.418,11,31,0.355,17,24,0.708,4,43,47,20,19.0,8,5,7,23,17,94,-7.0
9,PHI,22000771,2021-04-06T00:00:00,PHI @ BOS,W,48.0,34,73,0.466,9,24,0.375,29,39,0.744,9,29,38,16,13.0,11,4,6,20,22,106,10.0
10,PHI,22000758,2021-04-04T00:00:00,PHI vs. MEM,L,48.0,37,89,0.416,8,34,0.235,18,28,0.643,16,34,50,23,11.0,4,6,10,19,23,100,-16.0
11,PHI,22000750,2021-04-03T00:00:00,PHI vs. MIN,W,48.0,41,81,0.506,12,28,0.429,28,37,0.757,8,34,42,26,12.0,7,7,5,24,24,122,9.0
12,PHI,22000731,2021-04-01T00:00:00,PHI @ CLE,W,48.0,40,93,0.43,15,37,0.405,19,25,0.76,12,43,55,27,10.0,11,8,3,19,24,114,20.0
13,PHI,22000719,2021-03-30T00:00:00,PHI @ DEN,L,48.0,35,82,0.427,11,35,0.314,14,15,0.933,5,29,34,18,12.0,14,6,6,18,16,95,-9.0
14,PHI,22000701,2021-03-27T00:00:00,PHI @ LAC,L,48.0,39,77,0.506,10,26,0.385,24,33,0.727,8,30,38,17,16.0,5,2,3,27,25,112,-10.0
15,PHI,22000681,2021-03-25T00:00:00,PHI @ LAL,W,48.0,39,80,0.488,17,45,0.378,14,21,0.667,7,32,39,24,21.0,13,9,0,26,19,109,8.0
16,PHI,22000665,2021-03-23T00:00:00,PHI @ GSW,W,48.0,39,86,0.453,7,24,0.292,23,35,0.657,13,38,51,15,14.0,5,4,7,24,23,108,10.0
17,PHI,22000650,2021-03-21T00:00:00,PHI @ NYK,W,53.0,38,82,0.463,11,25,0.44,14,23,0.609,8,36,44,19,20.0,12,9,2,18,19,101,1.0
18,PHI,22000641,2021-03-20T00:00:00,PHI vs. SAC,W,48.0,48,86,0.558,11,23,0.478,22,29,0.759,9,43,52,24,11.0,7,3,2,22,21,129,24.0
19,PHI,22000618,2021-03-17T00:00:00,PHI vs. MIL,L,53.0,43,109,0.394,14,41,0.341,5,8,0.625,13,46,59,28,20.0,14,7,1,23,11,105,-4.0
20,PHI,22000611,2021-03-16T00:00:00,PHI vs. NYK,W,48.0,37,90,0.411,11,32,0.344,14,19,0.737,12,38,50,19,12.0,8,10,5,22,23,99,3.0
21,PHI,22000595,2021-03-14T00:00:00,PHI vs. SAS,W,48.0,56,98,0.571,15,29,0.517,7,11,0.636,13,41,54,35,11.0,7,7,10,27,13,134,35.0
22,PHI,22000579,2021-03-12T00:00:00,PHI @ WAS,W,48.0,49,90,0.544,11,21,0.524,18,18,1.0,10,39,49,26,17.0,13,6,2,19,16,127,26.0
23,PHI,22000572,2021-03-11T00:00:00,PHI @ CHI,W,48.0,53,103,0.515,10,33,0.303,11,15,0.733,13,32,45,25,11.0,11,7,6,16,19,127,22.0
24,PHI,22000545,2021-03-03T00:00:00,PHI vs. UTA,W,53.0,48,93,0.516,8,25,0.32,27,35,0.771,8,42,50,22,11.0,9,6,1,17,24,131,8.0
25,PHI,22000530,2021-03-01T00:00:00,PHI vs. IND,W,48.0,50,88,0.568,15,35,0.429,15,16,0.938,6,33,39,27,19.0,10,6,1,19,19,130,16.0
26,PHI,22000513,2021-02-27T00:00:00,PHI vs. CLE,L,53.0,38,83,0.458,10,28,0.357,23,35,0.657,8,38,46,25,19.0,9,10,3,26,26,109,-3.0
27,PHI,22000498,2021-02-25T00:00:00,PHI vs. DAL,W,48.0,39,90,0.433,12,29,0.414,21,25,0.84,8,31,39,26,8.0,11,6,9,19,21,111,14.0
28,PHI,22000484,2021-02-23T00:00:00,PHI @ TOR,W,48.0,33,80,0.413,17,38,0.447,26,30,0.867,12,42,54,24,19.0,5,8,11,15,20,109,7.0
29,PHI,22000468,2021-02-21T00:00:00,PHI @ TOR,L,48.0,33,85,0.388,11,37,0.297,26,35,0.743,11,34,45,26,10.0,8,7,5,21,24,103,-7.0
30,PHI,22000450,2021-02-19T00:00:00,PHI vs. CHI,W,48.0,41,87,0.471,7,21,0.333,23,29,0.793,16,37,53,23,15.0,5,7,6,18,20,112,7.0
31,PHI,22000439,2021-02-17T00:00:00,PHI vs. HOU,W,48.0,39,81,0.481,12,26,0.462,28,32,0.875,7,40,47,23,23.0,12,6,6,21,24,118,5.0
32,PHI,22000423,2021-02-15T00:00:00,PHI @ UTA,L,48.0,47,94,0.5,8,23,0.348,21,24,0.875,12,30,42,19,12.0,6,4,4,21,18,123,-11.0
33,PHI,22000406,2021-02-13T00:00:00,PHI @ PHX,L,48.0,38,73,0.521,7,17,0.412,28,33,0.848,8,27,35,19,13.0,7,1,3,15,24,111,-9.0
34,PHI,22000394,2021-02-11T00:00:00,PHI @ POR,L,48.0,42,86,0.488,6,27,0.222,24,29,0.828,11,35,46,20,9.0,6,5,2,20,21,114,-4.0
35,PHI,22000381,2021-02-09T00:00:00,PHI @ SAC,W,48.0,41,85,0.482,9,20,0.45,28,35,0.8,12,47,59,24,17.0,4,5,8,22,28,119,8.0
36,PHI,22000354,2021-02-06T00:00:00,PHI vs. BKN,W,48.0,48,94,0.511,10,27,0.37,18,22,0.818,13,38,51,27,16.0,12,4,3,15,18,124,16.0
37,PHI,22000337,2021-02-04T00:00:00,PHI vs. POR,L,48.0,39,81,0.481,7,27,0.259,20,24,0.833,8,29,37,19,18.0,6,3,5,15,18,105,-16.0
38,PHI,22000327,2021-02-03T00:00:00,PHI @ CHA,W,48.0,41,79,0.519,10,24,0.417,26,32,0.813,10,30,40,23,19.0,9,6,4,21,22,118,7.0
39,PHI,22000307,2021-01-31T00:00:00,PHI @ IND,W,48.0,45,92,0.489,8,26,0.308,21,31,0.677,14,30,44,20,12.0,9,8,7,21,25,119,9.0
40,PHI,22000294,2021-01-29T00:00:00,PHI @ MIN,W,48.0,39,87,0.448,8,16,0.5,32,38,0.842,12,39,51,20,10.0,11,6,4,17,29,118,24.0
41,PHI,22000276,2021-01-27T00:00:00,PHI vs. LAL,W,48.0,41,85,0.482,9,25,0.36,16,26,0.615,7,31,38,24,14.0,10,7,2,24,20,107,1.0
42,PHI,22000257,2021-01-25T00:00:00,PHI @ DET,L,48.0,40,94,0.426,9,28,0.321,15,20,0.75,13,23,36,15,9.0,12,3,6,26,20,104,-15.0
43,PHI,22000243,2021-01-23T00:00:00,PHI @ DET,W,48.0,38,83,0.458,8,23,0.348,30,38,0.789,12,37,49,14,15.0,10,7,8,24,28,114,4.0
44,PHI,22000233,2021-01-22T00:00:00,PHI vs. BOS,W,48.0,45,81,0.556,12,28,0.429,20,24,0.833,10,35,45,23,20.0,9,7,5,23,21,122,12.0
45,PHI,22000218,2021-01-20T00:00:00,PHI vs. BOS,W,48.0,36,78,0.462,9,27,0.333,36,45,0.8,11,30,41,20,9.0,12,3,0,20,29,117,8.0
46,PHI,22000193,2021-01-16T00:00:00,PHI @ MEM,L,48.0,37,84,0.44,7,25,0.28,23,32,0.719,15,38,53,23,23.0,5,11,3,17,25,104,-2.0
47,PHI,22000174,2021-01-14T00:00:00,PHI vs. MIA,W,48.0,44,82,0.537,17,37,0.459,20,24,0.833,5,30,35,27,18.0,15,3,1,22,19,125,17.0
48,PHI,22000157,2021-01-12T00:00:00,PHI vs. MIA,W,53.0,50,102,0.49,19,55,0.345,18,25,0.72,16,36,52,32,19.0,10,6,4,21,21,137,3.0
49,PHI,22000153,2021-01-11T00:00:00,PHI @ ATL,L,48.0,37,92,0.402,8,36,0.222,12,13,0.923,9,41,50,20,9.0,2,12,3,17,13,94,-18.0
50,PHI,22000133,2021-01-09T00:00:00,PHI vs. DEN,L,48.0,43,103,0.417,11,35,0.314,6,10,0.6,20,28,48,23,17.0,8,4,7,19,12,103,-12.0
51,PHI,22000118,2021-01-07T00:00:00,PHI @ BKN,L,48.0,41,87,0.471,9,26,0.346,18,20,0.9,4,43,47,23,20.0,6,6,7,25,17,109,-13.0
52,PHI,22000109,2021-01-06T00:00:00,PHI vs. WAS,W,48.0,50,81,0.617,18,29,0.621,23,33,0.697,1,34,35,33,18.0,9,6,2,21,27,141,5.0
53,PHI,22000094,2021-01-04T00:00:00,PHI vs. CHA,W,48.0,46,95,0.484,11,32,0.344,15,23,0.652,14,41,55,34,10.0,7,5,4,21,24,118,17.0
54,PHI,22000082,2021-01-02T00:00:00,PHI vs. CHA,W,48.0,47,79,0.595,16,35,0.457,17,24,0.708,7,38,45,35,22.0,10,7,5,17,18,127,15.0
55,PHI,22000064,2020-12-31T00:00:00,PHI @ ORL,W,48.0,44,91,0.484,15,33,0.455,13,15,0.867,7,47,54,23,15.0,7,10,5,23,15,116,24.0
56,PHI,22000049,2020-12-29T00:00:00,PHI vs. TOR,W,48.0,32,84,0.381,8,31,0.258,28,33,0.848,9,45,54,21,20.0,10,10,7,15,28,100,7.0
57,PHI,22000035,2020-12-27T00:00:00,PHI @ CLE,L,48.0,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,22.0,9,5,6,19,22,94,-24.0
58,PHI,22000025,2020-12-26T00:00:00,PHI @ NYK,W,48.0,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,12.0,9,6,4,19,23,109,20.0
59,PHI,22000013,2020-12-23T00:00:00,PHI vs. WAS,W,48.0,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,18.0,11,8,4,25,26,113,6.0
